Altium Designer Pick and Place Locations
C:\Users\thegi\Documents\Altium\Projects\H22R2x-Hardware\Design\Project Outputs for H22R2x\Pick Place for H22R2x.csv

========================================================================================================================
File Design Information:

Date:       01/12/25
Time:       14:04
Revision:   fe974d7a06c0b3114e601f530a34604b9e02acd8
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"VDD3","HEXABIT_UART_PORT","TopLayer","HEXABIT_POWER_PORT_U_300R","-6.611","305.199","90",""
"U2","NRF9160-SICA-R7","TopLayer","LGA127_16p00X10p50_nRF9160_NOR","419.640","-81.383","90","Description"
"R5","10k","TopLayer","RC0201N_VIS","766.839","-350.897","90","CRCW0201 200 10K 1% ET7 e3"
"R4","10k","TopLayer","RC0201N_VIS","809.973","-353.001","270","CRCW0201 200 10K 1% ET7 e3"
"L1","68n","TopLayer","FP-LQG18HH_00-MFG","479.507","329.677","90","Multilayer type RF Inductor 68nH ±5% 0.8O 400mA 0603

LQG18HN68NJ00D"
"J4","734120110","TopLayer","CONN_73412-0110_MOL","225.917","349.815","0","MCRF Jack, Straight, PCB Receptacle, Surface Mount, 1.25mm Mounted Height, 50 Ohms"
"J3","734120110","TopLayer","CONN_73412-0110_MOL","102.953","-5.935","90","MCRF Jack, Straight, PCB Receptacle, Surface Mount, 1.25mm Mounted Height, 50 Ohms"
"J2","SIM8051-6-0-14-01-A","TopLayer","SIM8051-6-0-14-01-A_GCT","941.532","-1.844","180","Description"
"C12","4u7","TopLayer","FP-0603-L_1_6_0_15-W_0_8-MFG","903.659","367.970","270","Ceramic Capacitor General Use 4.7uF ±10% 10V X6S 0603"
"C11","4u7","TopLayer","FP-0603-L_1_6_0_15-W_0_8-MFG","643.991","-476.556","270","Ceramic Capacitor General Use 4.7uF ±10% 10V X6S 0603"
"C10","47u","TopLayer","FP-GRM21B-0_2-e0_2_0_7-IPC_B","526.618","-480.213","0","Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 47uF, X5R, 15%, 20%, 6.3V"
"C9","4.7u","TopLayer","CAP_CL10_SAM","417.983","-493.823","90","4.7 µF ±10% 6.3V Ceramic Capacitor X5R 0603 (1608 Metric)"
"C8","39p","TopLayer","CAPC1005X56X25ML10T15","776.863","448.949","0","04023A390KAT2A"
"C7","39p","TopLayer","CAPC1005X56X25ML10T15","746.145","367.971","180","04023A390KAT2A"
"C6","39p","TopLayer","CAPC1005X56X25ML10T15","461.470","498.011","0","04023A390KAT2A"
"SU5","HEXABIT_UART_PORT","TopLayer","HEXABIT_UART_PORT_U","-1163.391","-0.001","150",""
"VDD10","HEXABIT_UART_PORT","TopLayer","HEXABIT_POWER_PORT_U","-1163.261","-325.201","210",""
"VDD9","HEXABIT_UART_PORT","TopLayer","HEXABIT_POWER_PORT_U","-600.001","-650.391","270",""
"VDD8","HEXABIT_UART_PORT","TopLayer","HEXABIT_POWER_PORT_U_300L","-6.611","-305.201","90",""
"VDD7","HEXABIT_UART_PORT","TopLayer","HEXABIT_POWER_PORT_U","581.099","-650.391","270",""
"GND10","HEXABIT_UART_PORT","TopLayer","HEXABIT_POWER_PORT_D","-1163.261","-325.201","150",""
"GND9","HEXABIT_UART_PORT","TopLayer","HEXABIT_POWER_PORT_D","-600.001","-650.391","210",""
"GND8","HEXABIT_UART_PORT","TopLayer","HEXABIT_POWER_PORT_D_300L","-6.611","-305.201","90",""
"GND7","HEXABIT_UART_PORT","TopLayer","HEXABIT_POWER_PORT_D","581.099","-650.391","210",""
"X1","CSTCE8M00G52Z-R0","BottomLayer","XTALL_CSTCE8M00G52","-298.569","230.291","0","Ceramic Resonator 8MHz ±0.5% (Tol) ±0.2% (Stability) 10pF 40Ohm 3-Pin CSMD T/R"
"U1","STM32G0B1CEU6","BottomLayer","QFN50P700X700X65-49N-D","-621.538","15.280","270","MCU 32-bit ARM Cortex M0+ RISC 512KB Flash 1.8V/2.5V/3.3V 48-Pin UFQFPN EP Tray"
"R2","Manufacturer Part Number","BottomLayer","R0603","-969.890","227.427","0",""
"R1","Manufacturer Part Number","TopLayer","R0603","-298.901","-28.917","270","Res Thick Film 0603 270 Ohm 5% 0.1W(1/10W) ±200ppm/C Pad SMD Automotive T/R"
"R3","Manufacturer Part Number","BottomLayer","R0603","-703.602","-197.971","0","100mW Thick Film Resistors ±100ppm/? ±1% 10kO 0603 Chip Resistor - Surface Mount ROHS"
"LED1","VLMS1300-GS08","TopLayer","FP-6_541-5092_01-4-MFG","-391.715","-27.812","90","LED Uni-Color Super Red 639nm 2-Pin Chip 0603(1608Metric) T/R"
"J1","TSW-103-14-G-S","TopLayer","FP-TSW-103-14-G-S-MFG","-618.223","-362.605","0","CONN HEADER VERT 3POS 2.54MM"
"FB1","MMZ1608Y300B","BottomLayer","FP-MMZ1608-0_8-MFG","-970.632","301.457","0","Ferrite Beads 0603 30ohms 1500mA Signal Line AEC-Q200"
"D1","CDSOD323-T03SC","BottomLayer","SOD2513X114N","-1054.669","257.258","90","A 3V, 350W, bi-directional, standard capacitance, SOD323 pkg TVS Diode"
"C4","CC0805KKX7R7BB105","BottomLayer","C0805","-952.443","50.889","180","Ceramic Capacitor, Ceramic, 16V, 10% +Tol, 10% -Tol, X7R, 15% TC, 1uF, Surface Mount, 0805"
"C3","CL10B104KA8NNNC","BottomLayer","C0603","-967.814","137.499","180","Ceramic Capacitor, Multilayer, Ceramic, 25V, 10% +Tol, 10% -Tol, X7R, +-15% TC, 100nF, Surface Mount, 0603 inch"
"C2","CL21X475KAQNNNE","BottomLayer","C0805","-798.327","284.919","90","Ceramic Capacitor, Multilayer, Ceramic, 25V, 10% +Tol, 10% -Tol, X6S, +-22% TC, 4.7uF, Surface Mount, 0805 inch"
"C5","CL10B104KA8NNNC","TopLayer","C0603","-516.478","346.389","180","Ceramic Capacitor, Multilayer, Ceramic, 25V, 10% +Tol, 10% -Tol, X7R, +-15% TC, 100nF, Surface Mount, 0603 inch"
"C1","CL10B104KA8NNNC","BottomLayer","C0603","-890.037","256.090","90","Ceramic Capacitor, Multilayer, Ceramic, 25V, 10% +Tol, 10% -Tol, X7R, +-15% TC, 100nF, Surface Mount, 0603 inch"
"VDD6","HEXABIT_UART_PORT","TopLayer","HEXABIT_POWER_PORT_U","1144.489","-325.201","330",""
"VDD5","HEXABIT_UART_PORT","TopLayer","HEXABIT_POWER_PORT_U","1144.489","325.199","30",""
"VDD4","HEXABIT_UART_PORT","TopLayer","HEXABIT_POWER_PORT_U","581.099","650.389","90",""
"VDD2","HEXABIT_UART_PORT","TopLayer","HEXABIT_POWER_PORT_U","-600.001","650.389","90",""
"SU4","HEXABIT_UART_PORT","TopLayer","HEXABIT_UART_PORT_U","-881.501","-487.801","210",""
"SU3","HEXABIT_UART_PORT","TopLayer","HEXABIT_UART_PORT_U","-318.501","-487.801","270",""
"SU2","HEXABIT_UART_PORT","TopLayer","HEXABIT_UART_PORT_U","-318.501","487.799","30",""
"SU1","HEXABIT_UART_PORT","TopLayer","HEXABIT_UART_PORT_U","-881.501","487.799","90",""
"SD5","HEXABIT_UART_PORT","TopLayer","HEXABIT_UART_PORT_D","-1163.391","-0.001","150",""
"SD4","HEXABIT_UART_PORT","TopLayer","HEXABIT_UART_PORT_D","-881.501","-487.801","210",""
"SD3","HEXABIT_UART_PORT","TopLayer","HEXABIT_UART_PORT_D","-318.501","-487.801","270",""
"SD2","HEXABIT_UART_PORT","TopLayer","HEXABIT_UART_PORT_D","-318.501","487.799","30",""
"SD1","HEXABIT_UART_PORT","TopLayer","HEXABIT_UART_PORT_D","-881.501","487.799","90",""
"GND6","HEXABIT_UART_PORT","TopLayer","HEXABIT_POWER_PORT_D","1144.489","-325.201","270",""
"GND5","HEXABIT_UART_PORT","TopLayer","HEXABIT_POWER_PORT_D","1144.489","325.199","330",""
"GND4","HEXABIT_UART_PORT","TopLayer","HEXABIT_POWER_PORT_D","581.099","650.389","30",""
"GND3","HEXABIT_UART_PORT","TopLayer","HEXABIT_POWER_PORT_D_300R","-6.611","305.199","90",""
"GND2","HEXABIT_UART_PORT","TopLayer","HEXABIT_POWER_PORT_D","-600.001","650.389","30",""
"GND1","HEXABIT_UART_PORT","TopLayer","HEXABIT_POWER_PORT_D","-1163.261","325.199","90",""
"VDD1","HEXABIT_UART_PORT","TopLayer","HEXABIT_POWER_PORT_U","-1163.261","325.199","150",""
